地区,valid_data
    华山街道办事处,61975.0
    护国街道办事处,22906.0
    大观街道办事处,37630.0
    龙翔街道办事处,35092.0
    丰宁街道办事处,69785.0
    莲华街道办事处,109065.0
    红云街道办事处,103900.0
    黑林铺街道办事处,68232.0
    普吉街道办事处,56968.0
    沙朗街道办事处,13833.0
    厂口街道办事处,8802.0
    昆明国家高新技术产业开发区,69389.0
    拓东街道办事处,26181.0
    鼓楼街道办事处,32399.0
    东华街道办事处,82090.0
    联盟街道办事处,90438.0
    金辰街道办事处,119698.0
    青云街道办事处,105255.0
    龙泉街道办事处,54398.0
    茨坝街道办事处,49220.0
    双龙街道办事处,8300.0
    松华街道办事处,7301.0
    滇源镇,22055.0
    阿子营镇,17871.0
    关上街道办事处,117496.0
    太和街道办事处,46647.0
    吴井街道办事处,53217.0
    金马街道办事处,92954.0
    小板桥街道办事处,76622.0
    官渡街道办事处,56877.0
    矣六街道办事处,36989.0
    六甲街道办事处,43568.0
    大板桥街道办事处,53875.0
    阿拉街道办事处,45119.0
    昆明经济技术开发区,31026.0
    西苑街道办事处,37123.0
    马街街道办事处,63164.0
    金碧街道办事处,96388.0
    永昌街道办事处,38455.0
    前卫街道办事处,45293.0
    福海街道办事处,97740.0
    棕树营街道办事处,37306.0
    碧鸡街道办事处,26313.0
    海口街道办事处,55962.0
    团结街道办事处,21626.0
    昆明滇池国家旅游度假区,46687.0
    龙城街道办事处,36748.0
    洛龙街道办事处,9953.0
    斗南街道办事处,23840.0
    乌龙街道办事处,18083.0
    吴家营街道办事处,53613.0
    雨花街道办事处,19523.0
    七甸街道办事处,16455.0
    洛羊街道办事处,30003.0
    大渔街道办事处,15256.0
    马金铺街道办事处,23927.0
